Original Sentence,Tokenized Sentence,POS Tags
या गुन्ह्यात कळ्याणी (प. बंगाल) न्यायालयाने ९ आरोपींना जन्मठेपेची शिक्षा सुनावली आहे.,या गुन्ह्यात कळ्याणी ( प. बंगाल ) न्यायालयाने ९ आरोपींना जन्मठेपेची शिक्षा सुनावली आहे .,DEM NN NNP PUNCT NNP NNP PUNCT NN NUM NN NN NN VB AUX PUNCT
२४ फेब्रुवारीला सुरू झालेल्या खटल्याचा निकाल साडेचार महिन्यांत लागला.,२४ फेब्रुवारीला सुरू झालेल्या खटल्याचा निकाल साडेचार महिन्यांत लागला .,CD NN VBN VBN NN NN CD NN VM PUNCT
युवक काँग्रेसच्या वतीने येथे आयोजित करण्यात महारोजगार मेळाव्यात ते बोलत होते.,युवक काँग्रेसच्या वतीने येथे आयोजित करण्यात महारोजगार मेळाव्यात ते बोलत होते .,NN NN POST ADV VBN VBG NN NN PRP VB VAUX PUNCT
"काँग्रेस खासदारराहुल गांधीम्हणाले की, सत्ताधारी भाजप आणि राज्य सरकारने रोजगाराच्या नावावर फक्त आश्वासने दिली, पण रोजगार देण्यासाठी कोणतीही हालचाल केली नाही.","काँग्रेस खासदार राहुल गांधी म्हणाले की , सत्ताधारी भाजप आणि राज्य सरकरने रोजगाराच्या नावावर फक्त आश्वासने दिली , पण रोजगार देण्यासाठी कोणतीही हालचाल केली नाही .",NN NN NNP NNP VM CC PUNCT JJ NNP CC NN NN NN NN RB NN VM PUNCT CC NN PSP QF NN VM NEG PUNCT
बेरोजगारीमुळे लाखो तरुणांनाबिहारमधूनस्थलांतर करावे लागत आहे.,बेरोजगारीमुळे लाखो तरुणांना बिहारमधून स्थलांतर करावे लागत आहे .,NN ADJ NN NN NN VB VB AUX PUNCT
"पण, त्यांना खरे म्हणजे स्थानिक स्तरावरच रोजगाराच्या संधी द्यायला हव्यात.","पण , त्यांना खरे म्हणजे स्थानिक स्तरावरच रोजगाराच्या संधी द्यायला हव्यात .",CONJ PUNCT PRP ADV ADV ADJ ADV NN NN INF VM PUNCT
आम्ही मात्र यासाठी वचनबद्ध आहोत.,आम्ही मात्र यासाठी वचनबद्ध आहोत .,PRP ADV DEM ADJ AUX PUNCT
"दरम्यान, या महारोजगार मेळाव्यात हजारो तरुणतरुणी उपस्थित होते.","दरम्यान , या महारोजगार मेळाव्यात हजारो तरुणतरुणी उपस्थित होते .",ADV PUNCT DEM NN NN NUM NN ADJ VM PUNCT
तरुणांची इतक्या मोठ्या संख्येने उपस्थिती आत्मविश्वास आणि बदलाची गरज दाखवणारा निर्णायक टप्पा असल्याचे यावेळी राहुल गांधी म्हणाले.,तरुणांची इतक्या मोठ्या संख्येने उपस्थिती आत्मविश्वास आणि बदलाची गरज दाखवणारा निर्णायक टप्पा असल्याचे यावेळी राहुल गांधी म्हणाले .,NN ADV ADJ ADV NN NN CC NN NN VRB ADJ NN VRB PRP NNPC NNP VRB PUNCT
"तसेच काँग्रेस व इंडिया आघाडीच्या वतीने तरुणांठी रोजगार, कौशल्यविकास आणि उज्ज्वल भविष्य निर्माण करण्यावर भर देण्यात येईल, असे आश्वासनही दिले.","तसेच काँग्रेस व इंडिया आघाडीच्या वतीने तरुणांठी रोजगार , कौशल्यविकास आणि उज्ज्वल भविष्य निर्माण करण्यावर भर देण्यात येईल , असे आश्वासनही दिले .",CC NN CC NN NN POST NN NN PUNCT NN CC ADJ NN NN VB NN VB AUX PUNCT DEM NN VB PUNCT
"दरम्यान, बिहार सरकारने पाच वर्षांत एक कोटी नोकऱ्या देण्याची घोषणा केली आहे.","दरम्यान , बिहार सरकारने पाच वर्षांत एक कोटी नोकऱ्या देण्याची घोषणा केली आहे .",ADV PUNCT NNP NN NUM NN NUM NUM NN VB NN VB AUX PUNCT
"राहुल गांधींनी मात्र हा निवडणुकीआधीचा खोटा वादा असून त्याची अंमलबजावणी होणार नाही, अशी टीका केली आहे.","राहुल गांधींनी मात्र हा निवडणुकीआधीचा खोटा वाद असून त्याची अंमलबजावणी होणार नाही , अशी टीका केली आहे .",NNP NNP ADV DEM ADJ ADJ NN VBN PRP NN VM NEG PUNCT ADV NN VM AUX PUNCT
"घोषणा नको, कृती हवी!","घोषणा नको , कृती हवी !",NN VM PUNCT NN VM PUNCT
दहशतवादाविरोधात भारताला आत्मनिर्भर व्हावे लागेल,दहशतवादाविरोधात भारताला आत्मनिर्भर व्हावे लागेल,NN NN JJ AUX VB
अमेरिकेने नुकतेच द रेझिस्टन्स फ्रंट या पहलगामदहशतवादीहल्ल्याची जबाबदारी स्वीकारणाऱ्या संघटनेलादहशतवादीसंघटना घोषित केले.,अमेरिकेने नुकतेच द रेझिस्टन्स फ्रंट या पहलगाम दहशतवादी हल्ल्याची जबाबदारी स्वीकारणाऱ्या संघटनेला दहशतवादी संघटना घोषित केले .,NN ADV DET NN NN DEM NN ADJ NN NN VRB NN ADJ NN VRB VRB PUNCT
भारतानेत्याचे स्वागत करत अमेरिकेचे आभार मानले आहेत.,भारताने त्याचे स्वागत करत अमेरिकेचे आभार मानले आहेत .,NN PRP NN VBG NN NN VBN AUX PUNCT
"याआधीही अमेरिकेने पाकिस्तानस्थित जैशएमोहम्मद, लष्करएतोयबा, हक्कानी नेटवर्कसारख्या संघटनांनाही दहशतवादी म्हणून नामनिर्दिष्ट केले होते; परंतु केवळ घोषणांनी दहशतवाद संपत नाही, हे वास्तवभारतालावारंवार अनुभवायला मिळते.","याआधीही अमेरिकेने पाकिस्तानस्थित जैशएमोहम्मद , लष्करएतोयबा , हक्कानी नेटवर्कसारख्या संघटनांनाही दहशतवादी म्हणून नामनिर्दिष्ट केले होते ; परंतु केवळ घोषणांनी दहशतवाद संपत नाही , हे वास्तवभारतालावारंवार अनुभवायला मिळते .",ADV NN ADJ NN PUNCT NN PUNCT NN NN NN ADJ ADV VB VB VAUX PUNCT CONJ ADV NN NN VB NEG PUNCT DEM NN VB VB PUNCT
अमेरिकेची दहशतवादासंदर्भातील भूमिका कायमच संदिग्ध आणि द्वैध राहिलेली आहे.,अमेरिकेची दहशतवादासंदर्भातील भूमिका कायमच संदिग्ध आणि द्वैध राहिलेली आहे .,NN JJ NN ADV ADJ CC ADJ VBN AUX PUNCT
"एकीकडे ती पाकिस्तानातील दहशतवादी संघटनांवर बंधने लादते आणि दुसरीकडे पाकिस्तानी सरकार आणि लष्कराचे दहशतवादाला प्रोत्साहन असल्याकडे डोळेझाक करून, त्या देशाला लष्करी मदत, विकास निधी आणि कुटनीतिक पाठबळही देते.","एकीकडे ती पाकिस्तानातील दहशतवादी संघटनांवर बंधने लादते आणि दुसरीकडे पाकिस्तानी सरकार आणि लष्कराचे दहशतवादाला प्रोत्साहन असल्याकडे डोळेझाक करून , त्या देशाला लष्करी मदत , विकास निधी आणि कुटनीतिक पाठबळही देते .",ADV PRP JJ JJ NN NN VB CONJ ADV JJ NN CONJ NN NN NN ADV NN VRB PUNCT DEM NN JJ NN PUNCT NN NN CONJ JJ NN VB PUNCT
"अमेरिकेचे राष्ट्राध्यक्ष डोनाल्ड ट्रम्प यांनी भारताच्या ऑपरेशन सिंदूरनंतर भारतपाकिस्तानदरम्यान युद्धविराम झाल्यावर,  पाकिस्तानला महान देश आणि अमेरिकेचा महत्त्वाचा भागीदार संबोधले होते.","अमेरिकेचे राष्ट्राध्यक्ष डोनाल्ड ट्रम्प यांनी भारताच्या ऑपरेशन सिंदूरनंतर भारतपाकिस्तानदरम्यान युद्धविराम झाल्यावर , पाकिस्तानला महान देश आणि अमेरिकेचा महत्त्वाचा भागीदार संबोधले होते .",NN NN NN NNP PRP NN NN NN NN NN VM PUNCT NN JJ NN CC NN JJ NN VM VAUX PUNCT
अमेरिकाएकाच वेळी दोन भिन्न धोरणांचा अवलंब करत असल्याचे त्यावरून स्पष्ट होते.,अमेरिका एकाच वेळी दोन भिन्न धोरणांचा अवलंब करत असल्याचे त्यावरून स्पष्ट होते .,NNP ADJ NN NUM ADJ NN NN VBP PRP ADV ADJ VBP PUNCT
अमेरिकेवरील ९११ हल्ल्याचा सूत्रधार ओसामा बिन लादेन पाकिस्तानात लपून बसला होता.,अमेरिकेवरील ९११ हल्ल्याचा सूत्रधार ओसामा बिन लादेन पाकिस्तानात लपून बसला होता .,NN CD NN NN NNP NNP NNP NNP Gerund VB VAUX PUNCT
तरीही अमेरिकेने पाकिस्तान संदर्भातील भूमिका फारशी बदलली नाही.,तरीही अमेरिकेने पाकिस्तान संदर्भातील भूमिका फारशी बदलली नाही .,ADV NN NNP ADJ NN ADJ VRB AUX PUNCT
"सद्य:स्थितीतील आव्हानांना तोंड देण्यासाठी आंतरराष्ट्रीय कायद्याची शिस्त पाळली पाहिजे; प्रादेशिक वाद मिटवायला हवेत, याचे स्मरण लोकशाही जगाचे नेतृत्व करणाऱ्यांना दिले  पाहिजे.","सद्य: स्थितीतील आव्हानांना तोंड देण्यासाठी आंतरराष्ट्रीय कायद्याची शिस्त पाळली पाहिजे ; प्रादेशिक वाद मिटवायला हवेत , याचे स्मरण लोकशाही जगाचे नेतृत्व करणार्‍यांना दिले पाहिजे .",ADV ADJ NN NN INF ADJ NN NN VBI VM PUNCT ADJ NN VBI VM PUNCT PRP NN ADJ NN NN NN VBI VM PUNCT
"लोकशाही नेतृत्व म्हणजे मूल्यांची पाठराखण, कितीही अडथळे येवोत सदैव सत्य उचलून धरणे, दुर्बलांना बळआवाज देणे होय.","लोकशाही नेतृत्व म्हणजे मूल्यांची पाठराखण , कितीही अडथळे येवोत सदैव सत्य उचलून  धरणे , दुर्बलांना बळआवाज देणे होय .",ADJ NN CC NN NN PUNCT ADV NN VB ADV NN VB VB PUNCT NN NN VB AUX PUNCT
"कसोटीच्या काळात लोकांना एकत्र आणणे, अवाजवी विषमता दूर करून मानवी प्रतिष्ठा पुढे नेणे हे सारे या नेतृत्वाकडून अपेक्षित आहे.","कसोटीच्या काळात लोकांना एकत्र आणणे , अवाजवी विषमता दूर करून मानवी प्रतिष्ठा पुढे नेणे हे सारे या नेतृत्वाकडून अपेक्षित आहे .",NN NN NN ADV VRB PUNCT ADJ NN ADV VRB ADJ NN ADV VRB DEM ADJ DEM NN ADJ VRB PUNCT
"शांततासलोख्याच्या वातावरणात मानवी क्षमतेचा जास्तीत जास्त वापर करता येईल, अशी सामाजिक, राजकीय परिस्थिती निर्माण करण्यावर प्रेरक नेतृत्वाने भर दिला पाहिजे.","शांततासलोख्याच्या वातावरणात मानवी क्षमतेचा जास्तीत जास्त वापर करता येईल , अशी सामाजिक , राजकीय परिस्थिती निर्माण करण्यावर प्रेरक नेतृत्वाने भर दिला पाहिजे .",NN NN JJ NN RB JJ NN VM VM PUNCT DEM JJ PUNCT JJ NN NN NN JJ NN NN VM VM PUNCT
"अर्थात, नेतृत्व काही पोकळीतून निर्माण होत नाही.","अर्थात , नेतृत्व काही पोकळीतून निर्माण होत नाही .",ADV PUNCT NN DET NN VB VAUX VAUX PUNCT
"माणसाचा विकास, परिस्थिती, प्रदेश यातून नेतृत्व निर्माण होते.","माणसाचा विकास , परिस्थिती , प्रदेश यातून नेतृत्व निर्माण होते .",NN NN PUNCT NN PUNCT NN ADV NN VB VB PUNCT
माणसे आपला इतिहास घडवतात; परंतु तो त्यांना हवा तसा घडवत नाहीत असे कार्ल मार्क्सने म्हटले ते आजची परिस्थिती  आणि पूर्वानुभव लक्षात घेता खरेच आहे.,माणसे आपला इतिहास घडवतात ; परंतु तो त्यांना हवा तसा घडवत नाहीत असे कार्ल मार्क्सने म्हटले ते आजची परिस्थिती आणि पूर्वानुभव लक्षात घेता खरेच आहे .,NN PRP NN VRB PUNCT CONJ PRP PRP ADJ ADV VRB VRB DEM NNP NNP VRB DEM ADJ NN CONJ NN ADV VRB ADV VRB PUNCT
भारतीयलोकशाहीने आजवर अनेक चढउतार पाहिले.,भारतीयलोकशाहीने आजवर अनेक चढउतार पाहिले .,NN ADV ADJ NN VB PUNCT
नि:स्वार्थीपणे काम करणाऱ्या अनेक उत्तुंग नेत्यांनी ही लोकशाही समृद्ध केली आहे.,नि:स्वार्थीपणे काम करणाऱ्या अनेक उत्तुंग नेत्यांनी ही लोकशाही समृद्ध केली आहे .,ADV NN VRB ADJ ADJ NN DEM NN ADJ VRB AUX PUNCT
महात्मा गांधी यांच्या नेतृत्वाखाली या नेत्यांनी बदलास अभिमुख नेतृत्व कसे असते हे दाखवून दिले आहे.,महात्मा गांधी यांच्या नेतृत्वाखाली या नेत्यांनी बदलास अभिमुख नेतृत्व कसे असते हे दाखवून दिले आहे .,NN NNP GEN NN DEM NN NN ADJ NN ADV VRB PRP VRB VRB AUX PUNCT
महात्माजींचे राजकारण सत्तापिपासू नव्हते.,महात्माजींचे राजकारण सत्तापिपासू नव्हते .,NN NN ADJ AUX PUNCT
उलट स्वातंत्र्य आणि प्रतिष्ठेची आस  बाळगणाऱ्या लोकमानसातून ते उमललेले होते.,उलट स्वातंत्र्य आणि प्रतिष्ठेची आस बाळगणाऱ्या लोकमानसातून ते उमललेले होते .,ADV NN CC NN NN VRB NN DEM VRB VRB PUNCT
त्यातूनच अन्यायाविरुद्ध शाश्वत अशी अहिंसक लढाई त्यांना उभी  करता आली.,त्यातूनच अन्यायाविरुद्ध शाश्वत अशी अहिंसक लढाई त्यांना उभी करता आली .,PRON NN ADJ ADJ ADJ NN PRON ADJ VB VB PUNCT
गांधींच्या नैतिकतेने प्रेरित राजकारणाचा वारसदार असलेलाभारतदेश सर्वत्र न्यायाच्या रक्षणासाठी उभा राहिला पाहिजे.,गांधींच्या नैतिकतेने प्रेरित राजकारणाचा वारसदार असलेला भारतदेश सर्वत्र न्यायाच्या रक्षणासाठी उभा राहिला पाहिजे .,NN NN VBN NN NN VBN NN ADV NN NN JJ VB VM PUNCT
जागतिक व्यवस्थेला आकार देण्यासाठी भारताने  आता नैतिक दंड थोपटले पाहिजेत.,जागतिक व्यवस्थेला आकार देण्यासाठी भारताने आता नैतिक दंड थोपटले पाहिजेत .,ADJ NN NN INF NN ADV ADJ NN VB AUX PUNCT
शेतकऱ्यांसाठी आम्ही मार खायला आणि मरायला तयार आहोत.,शेतकऱ्यांसाठी आम्ही मार खायला आणि मरायला तयार आहोत .,NN PRP NN INF CC INF ADJ AUX PUNCT
"आम्हाला संपवायचा असेल तर संपवून टाका पण हा निष्क्रिय कृषिमंत्री राहिला नाही पाहिजे,"" असेही विजयकुमार घाडगे म्हणाले.","आम्हाला संपवायचा असेल तर संपवून टाका पण हा निष्क्रिय कृषिमंत्री राहिला नाही पाहिजे , असेही विजयकुमार घाडगे म्हणाले .",PRP VB AUX CC VB VB CC DEM ADJ NN VB NEG AUX PUNCT ADV NNP NNP VB PUNCT
ईडी कोणी ड्रोन नाही की सुपरकॉप नाही. . . मद्रास उच्च न्यायालयाचे ईडीच्या कार्यशैलीवर ताशेरे,ईडी कोणी ड्रोन नाही की सुपरकॉप नाही . . . मद्रास उच्च न्यायालयाचे ईडीच्या कार्यशैलीवर ताशेरे,NN PRP NN NEG CC NN NEG PUNCT PUNCT PUNCT NNP ADJ NN NN NN NN
"चेन्नई :कोणत्याही गुन्हेगारी प्रकरणात स्वनर्जीने कारवाई करण्यासाठी ईडी हा काही ड्रोन नाही किंवा दिसणाऱ्या प्रत्येक प्रकरणात तपास सुरू करणारा सुपरकॉपही नाही, अशा कडक शब्दांत मद्रासउच्च न्यायालयानेअंमलबजावणी संचालनालयाच्या(ईडी) कार्यशैलीवर ताशेरे ओढले आहेत.","चेन्नई : कोणत्याही गुन्हेगारी प्रकरणात स्वनर्जीने कारवाई करण्यासाठी ईडी हा काही ड्रोन नाही किंवा दिसणाऱ्या प्रत्येक प्रकरणात तपास सुरू करणारा सुपरकॉपही नाही , अशा कडक शब्दांत मद्रासउच्च न्यायालयाने अंमलबजावणी संचालनालयाच्या ( ईडी ) कार्यशैलीवर ताशेरे ओढले आहेत .",NNP PUNCT DEM ADJ NN NN NN INF NNP DEM PRP NN AUX CC ADJ DET NN NN VBG VM NN AUX PUNCT DEM ADJ NN NNP NN NN NN PUNCT NNP PUNCT NN NN VM AUX PUNCT
चेन्नईस्थित आरकेएम पॉवरजेन प्रायव्हेट लिमिटेडने दाखल केलेल्या याचिकेवर सुनावणी करताना न्या. एम. एस. रमेश व न्या.,चेन्नईस्थित आरकेएम पॉवरजेन प्रायव्हेट लिमिटेडने दाखल केलेल्या याचिकेवर सुनावणी करताना न्या. एम. एस. रमेश व न्या.,ADJ NN NN ADJ NN ADJ ADJ NN NN VRB NN NN NN NN CC NN
व्ही लक्ष्मीनारायणन यांच्या दोन सदस्यीय खंडपीठाने  म्हटले की ईडी हा फिरता बॉम्ब नाही जो त्याला पाहिजे तिथे स्फोट करेल.,व्ही लक्ष्मीनारायणन यांच्या दोन सदस्यीय खंडपीठाने म्हटले की ईडी हा फिरता बॉम्ब नाही जो त्याला पाहिजे तिथे स्फोट करेल .,NNP NNP GEN NUM ADJ NN VB CONJ NN DEM ADJ NN NEG PRP PRP AUX ADV NN VB PUNCT
त्याला प्रत्येक गोष्टीत उडी घेण्याचा अधिकार नाही.,त्याला प्रत्येक गोष्टीत उडी घेण्याचा अधिकार नाही .,PRP DET NN NN VB NN NEG PUNCT
मराठीसंगीतकारअवधूत गुप्तेने ( ) अनेक हिट गाणी दिली आहेत.,मराठीसंगीतकारअवधूत गुप्तेने ( ) अनेक हिट गाणी दिली आहेत .,NN NN PUNCT PUNCT JJ NN NN VBI AUX PUNCT
"'जय जय महाराष्ट्र','ऐका दाजिबा','मेरी मधुबाला','हळू हळू चाल' अशा अनेक सुपरहिट गाण्यांचा यात समावेश आहे.","' जय जय महाराष्ट्र ' , ' ऐका दाजिबा ' , ' मेरी मधुबाला ' , ' हळू हळू चाल ' अशा अनेक सुपरहिट गाण्यांचा यात समावेश आहे .",PUNCT NN NN NN PUNCT PUNCT PUNCT VB NN PUNCT PUNCT PUNCT NN NN PUNCT PUNCT PUNCT ADV ADV VB PUNCT DEM ADJ ADJ NN PRP NN AUX PUNCT
अवधूत गुप्तेचं राजकारणशीही कनेक्शन आहे.,अवधूत गुप्तेचं राजकारणशीही कनेक्शन आहे .,NNP NNP NN NN AUX PUNCT
शिवसेनेसाठी त्याने लिहिलेलं 'शिवसेनाशिवसेना'गाणं प्रचंड गाजलं.,शिवसेनेसाठी त्याने लिहिलेलं ' शिवसेनाशिवसेना ' गाणं प्रचंड गाजलं .,PSP PRP VBN PUNCT NN PUNCT NN ADV VB PUNCT
तसंच इतरही पक्षासाठी त्याने प्रचार गाणी बनवली.,तसंच इतरही पक्षासाठी त्याने प्रचार गाणी बनवली .,ADV ADJ NN PRP NN NN VB PUNCT
भारतातील कृषी क्षेत्र आजही आपल्या अर्थव्यवस्थेचा कणा आहे.,भारतातील कृषी क्षेत्र आजही आपल्या अर्थव्यवस्थेचा कणा आहे .,NN JJ NN ADV PRP NN NN VM PUNCT
५० पेक्षा जास्त लोकसंख्या शेतीवर अवलंबून आहे.,५० पेक्षा जास्त लोकसंख्या शेतीवर अवलंबून आहे .,NUM PP ADJ NN NN ADJ AUX PUNCT
"अन्न सुरक्षा, ग्रामीण विकास, सामाजिक समृद्धी हे सारे प्रश्न देशाच्या सातत्यपूर्ण विकासाशी निगडित आहेत.","अन्न सुरक्षा , ग्रामीण विकास , सामाजिक समृद्धी हे सारे प्रश्न देशाच्या सातत्यपूर्ण विकासाशी निगडित आहेत .",NN NN PUNCT JJ NN PUNCT JJ NN DEM JJ NN NN JJ NN JJ VM PUNCT
म्हणूनच केंद्र शासनाने नुकतेच मंजूर केलेले पंचायत पातळीवर धनधान्य कृषी योजना आणि शेती पायाभूत सुविधा प्रकल्प हे निर्णय भारतीय कृषी धोरणातील महत्त्वाचा टप्पा ठरावेत.,म्हणूनच केंद्र शासनाने नुकतेच मंजूर केलेले पंचायत पातळीवर धनधान्य कृषी योजना आणि शेती पायाभूत सुविधा प्रकल्प हे निर्णय भारतीय कृषी धोरणातील महत्त्वाचा टप्पा ठरावेत .,CC NN NN ADV ADJ VBN NN NN NN JJ NN CC NN ADJ NN NN DEM NN JJ JJ NN ADJ NN VM PUNCT
"आधुनिक शेती हा शब्द सध्या प्रत्येक कृषी धोरणाचा पासवर्ड झाला आहे; पण शेतीला आधुनिकतेचा स्पर्श देताना, ती शेतकऱ्यांच्या हातून निसटू नये, याची दक्षता सरकारने घेतली पाहिजे.","आधुनिक शेती हा शब्द सध्या प्रत्येक कृषी धोरणाचा पासवर्ड झाला आहे ; पण शेतीला आधुनिकतेचा स्पर्श देताना , ती शेतकऱ्यांच्या हातून निसटू नये , याची दक्षता सरकाराने घेतली पाहिजे .",ADJ NN DEM NN ADV DET ADJ NN NN VB AUX PUNCT CONJ NN NN NN VB PUNCT PRP NN ADV VB AUX PUNCT DEM NN NN VB AUX PUNCT
"योजना म्हणते की, उत्पादकता कमी असलेल्या जिल्ह्यांमध्ये सुधारणा केली जाईल, पीक विविधीकरणास प्रोत्साहन दिले जाईल आणि कर्जसुलभता वाढवली जाईल.","योजना म्हणते की , उत्पादकता कमी असलेल्या जिल्ह्यांमध्ये सुधारणा केली जाईल , पीक विविधीकरणास प्रोत्साहन दिले जाईल आणि कर्जसुलभता वाढवली जाईल .",NN VB CC PUNCT NN JJ VM NN NN VM VB PUNCT NN NN NN VM VB CC NN VM VB PUNCT
"हे सर्व ऐकायला भारी आहे; पण शेतकऱ्यांनी या घोषणा आधीही अनेकदा ऐकल्या आहेत वेगवेगळ्या नावांनी, वेगवेगळ्या सरकारांकडून!","हे सर्व ऐकायला भारी आहे ; पण शेतकऱ्यांनी या घोषणा आधीही अनेकदा ऐकल्या आहेत वेगवेगळ्या नावांनी , वेगवेगळ्या सरकारांकडून !",DEM  सर्वनाम VRB ADJ VRB PUNCT CONJ NN DEM NN ADV ADV VRB VRB ADJ NN PUNCT ADJ NN PUNCT
"पूर्वीच्याच योजनांचे गालबोट लक्षात घेतले, तर सरकारला आपला इतिहास विसरून चालणार नाही.","पूर्वीच्याच योजनांचे गालबोट लक्षात घेतले , तर सरकारला आपला इतिहास विसरून चालणार नाही .",ADJ NN NN ADV VB PUNCT CONJ NN PRON NN ADV VB AUX PUNCT
पोखरा नावाने ओळखली जाणारी नानाजी देशमुख कृषी संजीवनी योजना अक्षरशः पोखरली गेली.,पोखरा नावाने ओळखली जाणारी नानाजी देशमुख कृषी संजीवनी योजना अक्षरशः पोखरली गेली .,NN ADV VBN VRB NNP NNP JJ NN NN ADV VBN AUX PUNCT
"मधुमक्षिकापालन, शेडनेट, शेततळी या सगळ्यांचे अनुदान कागदावरच वाटले गेले.","मधुमक्षिकापालन , शेडनेट , शेततळी या सगळ्यांचे अनुदान कागदावरच वाटले गेले .",NN PUNCT NN PUNCT NN DEM PRP NN ADV VB AUX PUNCT
प्रत्यक्षात कागदावरची शेती बहरली आणि खरी शेती मात्र कोरडीच राहिली.,प्रत्यक्षात कागदावरची शेती बहरली आणि खरी शेती मात्र कोरडीच राहिली .,ADV ADJ NN VB CC ADJ NN ADV ADJ VB PUNCT
अशा लोकांना राजीनामा द्यायला सांगून आमचा तोंडाला पानं पुसता आहात का?,अशा लोकांना राजीनामा द्यायला सांगून आमचा तोंडाला पानं पुसता आहात का ?,DEM NN NN INF VBG PRP NN NN VRB AUX QST PUNCT
